"","targetRisk","targetReturn","Alaska","Apple","Delta","Google","Lilly","Starbucks","Tesla","United"
"1",0.0995914466594707,-0.00590919934376309,0.880486393438762,0,0.119513606561238,0,0,0,0,0
"2",0.096348721332548,-0.00529360988901396,0.815952363015541,0,0.153118117938307,0,0,0.0309295190461517,0,0
"3",0.0931991510370399,-0.00467802043426483,0.779374953397269,0,0.143038625791396,0,0,0.0775864208113344,0,0
"4",0.0901165849940469,-0.0040624309795157,0.742797543778998,0,0.132959133644485,0,0,0.124243322576517,0,0
"5",0.0871081368949532,-0.00344684152476657,0.706220134160726,0,0.122879641497574,0,0,0.1709002243417,0,0
"6",0.084154839694301,-0.00283125207001743,0.675706329537639,0,0.120362042034271,0,0.0229493911208765,0.180982237307213,0,0
"7",0.0812318038527468,-0.00221566261526831,0.645355695427936,0,0.118047931734975,0,0.0465163462047763,0.190080026632313,0,0
"8",0.0783423957518413,-0.00160007316051917,0.615005061318232,0,0.115733821435679,0,0.0700833012886763,0.199177815957412,0,0
"9",0.0754904768091614,-0.000984483705770042,0.584654427208529,0,0.113419711136383,0,0.0936502563725763,0.208275605282511,0,0
"10",0.0726804602859691,-0.00036889425102091,0.554303793098825,0,0.111105600837087,0,0.117217211456476,0.217373394607611,0,0
"11",0.0699173986047502,0.000246695203728223,0.523953158989122,0,0.108791490537791,0,0.140784166540376,0.22647118393271,0,0
"12",0.0672070833298107,0.000862284658477354,0.493602524879419,0,0.106477380238495,0,0.164351121624276,0.23556897325781,0,0
"13",0.0645561582927153,0.00147787411322648,0.463251890769716,0,0.104163269939199,0,0.187918076708176,0.244666762582909,0,0
"14",0.0619722453933814,0.00209346356797562,0.432901256660012,0,0.101849159639903,0,0.211485031792076,0.253764551908008,0,0
"15",0.0594640809770929,0.00270905302272475,0.402550622550309,0,0.0995350493406068,0,0.235051986875976,0.262862341233108,0,0
"16",0.0570416580717324,0.00332464247747388,0.372199988440606,0,0.0972209390413108,0,0.258618941959876,0.271960130558207,0,0
"17",0.0547163658009557,0.00394023193222301,0.341849354330902,0,0.0949068287420147,0,0.282185897043776,0.281057919883306,0,0
"18",0.0525011115989457,0.00455582138697215,0.311498720221199,0,0.0925927184427187,0,0.305752852127676,0.290155709208406,0,0
"19",0.0504104042193207,0.00517141084172128,0.281148086111496,0,0.0902786081434226,0,0.329319807211576,0.299253498533505,0,0
"20",0.0484603661743806,0.00578700029647041,0.250797452001792,0,0.0879644978441266,0,0.352886762295476,0.308351287858605,0,0
"21",0.0466686343031826,0.00640258975121954,0.220446817892089,0,0.0856503875448306,0,0.376453717379376,0.317449077183704,0,0
"22",0.0450539228624354,0.00701817920596867,0.190779055686464,0.00144603567957568,0.0827510604278926,0,0.398911823752286,0.326112024453781,0,0
"23",0.0435997146777867,0.0076337686607178,0.169437454259174,0.020523380375447,0.0727162672231434,0,0.40784989424231,0.329473003899926,0,0
"24",0.0422935648988739,0.00824935811546694,0.148949923111552,0.0372648817823485,0.0620979472238966,0.00512082249448864,0.415182098941857,0.331384326445857,0,0
"25",0.0411202530167777,0.00886494757021607,0.128883317211572,0.0451891090765024,0.0457115177496121,0.027448372814474,0.418893170908255,0.327507442330009,0,0.00636706990957588
"26",0.0400774196792021,0.0094805370249652,0.108728506210615,0.0530818402708283,0.029190373979445,0.0497694348006383,0.422669419638941,0.323599766096799,0,0.0129606590027339
"27",0.0391754847481597,0.0100961264797143,0.0885736952096572,0.0609745714651543,0.0126692302092777,0.0720904967868028,0.426445668369628,0.319692089863588,0,0.0195542480958919
"28",0.0384247552120594,0.0107117159344635,0.0676708109958338,0.0688818411646782,0,0.0942177372473097,0.430277114740378,0.314997769713439,0,0.0239547261383615
"29",0.0378380266105056,0.0113273053892126,0.0431553963654545,0.0736795767398287,0,0.11230233963448,0.432387489444196,0.309828080802624,0.00489139171354104,0.0237557252998754
"30",0.0374113836314464,0.0119428948439617,0.018206679055487,0.0772897987434013,0,0.129106231144875,0.433782268362585,0.305452722956904,0.0116224875212184,0.0245398122155287
"31",0.0371522253280204,0.0125584842987109,0,0.0831415322868825,0,0.147668202471588,0.432763019959568,0.300670708871581,0.0179751601432537,0.0177813762671266
"32",0.0371381496353555,0.01317407375346,0,0.0948442700973849,0,0.173934043084282,0.432491804870055,0.272938367105751,0.0257915148425277,0
"33",0.0376518863020985,0.0137896632082091,0,0.10616241347233,0,0.205824642869039,0.44604746843623,0.203628292188105,0.038337183034296,0
"34",0.0387477440349165,0.0144052526629583,0,0.117480556847274,0,0.237715242653796,0.459603132002407,0.134318217270459,0.0508828512260642,0
"35",0.0403783547882504,0.0150208421177074,0,0.128798700222219,0,0.269605842438553,0.473158795568583,0.065008142352813,0.0634285194178325,0
"36",0.0424853166147001,0.0156364315724565,0,0.139797475532592,0,0.297851512698496,0.482918273731324,0,0.0794327380375885,0
"37",0.0458502030963743,0.0162520210272056,0,0.145970158315542,0,0.2710172639118,0.435312147625522,0,0.147700430147136,0
"38",0.0508219120363775,0.0168676104819548,0,0.152142841098492,0,0.244183015125104,0.38770602151972,0,0.215968122256685,0
"39",0.0569813915679045,0.0174831999367039,0,0.158315523881442,0,0.217348766338408,0.340099895413918,0,0.284235814366232,0
"40",0.0639865442880257,0.018098789391453,0,0.164488206664392,0,0.190514517551712,0.292493769308117,0,0.35250350647578,0
"41",0.0715895476851137,0.0187143788462022,0,0.170660889447342,0,0.163680268765016,0.244887643202314,0,0.420771198585328,0
"42",0.0796193158003878,0.0193299683009513,0,0.176833572230292,0,0.13684601997832,0.197281517096513,0,0.489038890694875,0
"43",0.0879590483248408,0.0199455577557004,0,0.183006255013242,0,0.110011771191624,0.149675390990711,0,0.557306582804423,0
"44",0.0965284390158078,0.0205611472104496,0,0.189178937796192,0,0.0831775224049287,0.102069264884909,0,0.625574274913971,0
"45",0.105271418335522,0.0211767366651987,0,0.195351620579141,0,0.0563432736182327,0.0544631387791074,0,0.693841967023519,0
"46",0.114148106076463,0.0217923261199478,0,0.201524303362091,0,0.0295090248315369,0.00685701267330552,0,0.762109659133066,0
"47",0.123199010223545,0.022407915574697,0,0.162116679398474,0,0,0,0,0.837883320601526,0
"48",0.132623787018859,0.0230235050294461,0,0.0810583396992372,0,0,0,0,0.918941660300763,0
"49",0.142378878325748,0.0236390941319453,0,0.0000000463828555008483,0,0,0,0,0.999999953617145,0
